id,name,description,available_on,deleted_at,permalink,meta_description,meta_keywords,tax_category_id,shipping_category_id,created_at,updated_at,count_on_hand
596960057,"Spree Mug","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nulla nonummy aliquet mi. Proin lacus. Ut placerat. Proin consequat, justo sit amet tempus consequat, elit est adipiscing odio, ut egestas pede eros in diam. Proin varius, lacus vitae suscipit varius, ipsum eros convallis nisi, sit amet sodales lectus pede non est. Duis augue. Suspendisse hendrerit pharetra metus. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Curabitur nec pede. Quisque volutpat, neque ac porttitor sodales, sem lacus rutrum nulla, ullamcorper placerat ante tortor ac odio. Suspendisse vel libero. Nullam volutpat magna vel ligula. Suspendisse sit amet metus. Nunc quis massa. Nulla facilisi. In enim. In venenatis nisi id eros. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nunc sit amet felis sed lectus tincidunt egestas. Mauris nibh.","2012-05-01 00:00:00.000000","2012-08-07 11:37:50.536617",spree-mug,,,,,"2012-08-06 13:37:40","2012-08-06 13:37:40",10
706676762,"Apache Baseball Jersey","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nulla nonummy aliquet mi. Proin lacus. Ut placerat. Proin consequat, justo sit amet tempus consequat, elit est adipiscing odio, ut egestas pede eros in diam. Proin varius, lacus vitae suscipit varius, ipsum eros convallis nisi, sit amet sodales lectus pede non est. Duis augue. Suspendisse hendrerit pharetra metus. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Curabitur nec pede. Quisque volutpat, neque ac porttitor sodales, sem lacus rutrum nulla, ullamcorper placerat ante tortor ac odio. Suspendisse vel libero. Nullam volutpat magna vel ligula. Suspendisse sit amet metus. Nunc quis massa. Nulla facilisi. In enim. In venenatis nisi id eros. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nunc sit amet felis sed lectus tincidunt egestas. Mauris nibh.","2012-05-01 00:00:00.000000","2012-08-07 11:37:24.850295",apache-baseball-jersey,,,25484906,,"2012-08-06 13:37:40","2012-08-06 13:37:40",10
723959550,"Ruby on Rails Bag","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nulla nonummy aliquet mi. Proin lacus. Ut placerat. Proin consequat, justo sit amet tempus consequat, elit est adipiscing odio, ut egestas pede eros in diam. Proin varius, lacus vitae suscipit varius, ipsum eros convallis nisi, sit amet sodales lectus pede non est. Duis augue. Suspendisse hendrerit pharetra metus. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Curabitur nec pede. Quisque volutpat, neque ac porttitor sodales, sem lacus rutrum nulla, ullamcorper placerat ante tortor ac odio. Suspendisse vel libero. Nullam volutpat magna vel ligula. Suspendisse sit amet metus. Nunc quis massa. Nulla facilisi. In enim. In venenatis nisi id eros. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nunc sit amet felis sed lectus tincidunt egestas. Mauris nibh.","2012-05-01 00:00:00.000000","2012-08-07 11:37:31.948663",ruby-on-rails-bag,,,25484906,,"2012-08-06 13:37:40","2012-08-06 13:37:40",10
1025786064,"Ruby on Rails Baseball Jersey","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nulla nonummy aliquet mi. Proin lacus. Ut placerat. Proin consequat, justo sit amet tempus consequat, elit est adipiscing odio, ut egestas pede eros in diam. Proin varius, lacus vitae suscipit varius, ipsum eros convallis nisi, sit amet sodales lectus pede non est. Duis augue. Suspendisse hendrerit pharetra metus. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Curabitur nec pede. Quisque volutpat, neque ac porttitor sodales, sem lacus rutrum nulla, ullamcorper placerat ante tortor ac odio. Suspendisse vel libero. Nullam volutpat magna vel ligula. Suspendisse sit amet metus. Nunc quis massa. Nulla facilisi. In enim. In venenatis nisi id eros. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nunc sit amet felis sed lectus tincidunt egestas. Mauris nibh.","2012-05-01 00:00:00.000000","2012-08-07 11:37:34.977960",ruby-on-rails-baseball-jersey,,,25484906,,"2012-08-06 13:37:40","2012-08-06 13:37:40",88
1035865702,"Ruby on Rails Stein","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nulla nonummy aliquet mi. Proin lacus. Ut placerat. Proin consequat, justo sit amet tempus consequat, elit est adipiscing odio, ut egestas pede eros in diam. Proin varius, lacus vitae suscipit varius, ipsum eros convallis nisi, sit amet sodales lectus pede non est. Duis augue. Suspendisse hendrerit pharetra metus. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Curabitur nec pede. Quisque volutpat, neque ac porttitor sodales, sem lacus rutrum nulla, ullamcorper placerat ante tortor ac odio. Suspendisse vel libero. Nullam volutpat magna vel ligula. Suspendisse sit amet metus. Nunc quis massa. Nulla facilisi. In enim. In venenatis nisi id eros. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nunc sit amet felis sed lectus tincidunt egestas. Mauris nibh.","2012-05-01 00:00:00.000000","2012-08-07 11:38:20.386736",ruby-on-rails-stein,,,,,"2012-08-06 13:37:40","2012-08-06 13:37:40",10
1060500592,"Ruby on Rails Jr. Spaghetti","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nulla nonummy aliquet mi. Proin lacus. Ut placerat. Proin consequat, justo sit amet tempus consequat, elit est adipiscing odio, ut egestas pede eros in diam. Proin varius, lacus vitae suscipit varius, ipsum eros convallis nisi, sit amet sodales lectus pede non est. Duis augue. Suspendisse hendrerit pharetra metus. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Curabitur nec pede. Quisque volutpat, neque ac porttitor sodales, sem lacus rutrum nulla, ullamcorper placerat ante tortor ac odio. Suspendisse vel libero. Nullam volutpat magna vel ligula. Suspendisse sit amet metus. Nunc quis massa. Nulla facilisi. In enim. In venenatis nisi id eros. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nunc sit amet felis sed lectus tincidunt egestas. Mauris nibh.","2012-05-01 00:00:00.000000","2012-08-07 11:37:37.144019",ruby-on-rails-jr-spaghetti,,,25484906,,"2012-08-06 13:37:40","2012-08-06 13:37:40",10
1060500593,"Test Product",,"2012-05-01 00:00:00.000000","2012-08-07 11:37:59.894130",test-product,,,,,"2012-08-06 14:35:43.145044","2012-08-06 14:35:43.188836",0
1060500594,"Zen Full Touch Dual Sim Phone - M28","","2012-05-01 00:00:00.000000",,zen-full-touch-dual-sim-phone-m28,"","",,,"2012-08-06 15:03:29.150569","2012-08-10 11:59:54.269845",0
1060500595,"Sandisk 32 GB Micro SD Ultra Card (Class 10)","","2012-05-01 00:00:00.000000",,sandisk-32-gb-micro-sd-ultra-card-class-10,"","",,,"2012-08-06 15:10:10.319079","2012-08-10 11:57:49.947718",0
1060500596,"Samsung Galaxy S3 i9300 Mobile Phone - 16GB","","2012-05-01 00:00:00.000000",,samsung-galaxy-s3-i9300-mobile-phone-16gb,"","",,,"2012-08-06 15:13:52.782093","2012-08-10 14:45:40.362416",0
1060500597,"Fab India Linen Kurta","","2012-05-01 00:00:00.000000",,"Fab India Linen Kurta","","",,,"2012-08-06 15:58:53.773279","2012-08-10 11:59:32.808636",0
1060500598,"Fab India Red Kurta","","2012-05-01 00:00:00.000000",,"Fab India Red Kurta","","",,,"2012-08-06 16:01:30.910606","2012-08-10 12:00:51.026421",0
1060500599,"Multicoloured Bracelet","","2012-05-01 00:00:00.000000",,"Multicoloured Bracelet","","",,,"2012-08-06 16:15:54.243737","2012-08-10 11:57:06.822077",0
1060500600,"Croco Pattern Leather Strap Watch","","2012-05-01 00:00:00.000000",,"Croco Pattern Leather Strap Watch","","",,,"2012-08-06 16:21:21.635414","2012-08-10 12:02:07.515453",-1
1060500601,"Kebabs & Tikkis - Tarla Dalal","","2012-05-01 00:00:00.000000",,kebabs-and-tikkis-tarla-dalal,"","",,,"2012-08-06 16:58:38.734808","2012-08-10 12:01:46.648896",0
1060500602,"Kitchen Linen Set","","2012-05-01 00:00:00.000000",,"Kitchen Linen Set","","",,,"2012-08-06 17:01:33.980708","2012-08-10 12:01:18.332172",0
1060500603,"Steve Jobs: The Exclusive Biography","","2012-05-01 00:00:00.000000",,steve-jobs-the-exclusive-biography,"","",,,"2012-08-06 17:04:06.036772","2012-08-10 12:01:30.518873",0
1060500604,Ring,"","2012-05-01 00:00:00.000000",,Ring,"","",,,"2012-08-10 13:07:37.473962","2012-08-10 14:45:19.474990",0
1060500605,Cap,"","2012-05-01 00:00:00.000000",,cap,"","",,,"2012-08-16 12:08:34.594589","2012-08-16 12:29:28.982637",0
1060500606,"T shirt",,"2012-05-01 00:00:00.000000","2012-08-16 12:24:44.948610",t-shirt,,,,,"2012-08-16 12:13:33.996157","2012-08-16 12:16:02.663979",0
1060500607,"T shirt","","2012-05-01 00:00:00.000000","2012-08-16 12:25:05.012366",t-shirt-2,"","",,,"2012-08-16 12:19:46.068027","2012-08-16 12:21:35.216039",4
1060500608,"T shirt","","2012-05-01 00:00:00.000000",,"t shirt","","",,,"2012-08-16 12:20:52.790581","2012-08-16 12:29:57.790515",6
1060500609,"NIKE DRI-FIT FEATHERLIGHT RUNNING CAP UNISEX Cool and Lightweight-Perfect for Your Run! (Navy Blue)",,"2012-05-01 00:00:00.000000",,nike-dri-fit-featherlight-running-cap-unisex-cool-and-lightweight-perfect-for-your-run-navy-blue,,,,,"2012-08-20 15:19:25.642395","2012-08-20 15:19:25.648411",0
1060500610,"NIKE MEN BLACK T-SHIRT",,"2012-05-01 00:00:00.000000",,nike-men-black-t-shirt,,,,,"2012-08-20 15:22:51.292409","2012-08-20 15:22:51.298453",0
1060500611,"NIKE UNISEX STRIPED PURPLE CAP",,"2012-05-01 00:00:00.000000",,nike-unisex-striped-purple-cap,,,,,"2012-08-20 15:24:33.081571","2012-08-20 15:24:33.087513",0
1060500612,"REEBOK WOMEN CLUB PINTUCK SHIRT",,"2012-05-01 00:00:00.000000",,reebok-women-club-pintuck-shirt,,,,,"2012-08-20 15:27:00.026924","2012-08-20 15:27:00.032843",0
